Player_Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total_Points,Average_by_Match,Attack_Points,Efficiency,Attack_Avg_Points,Block_Points,Block_Success,Block_Avg_Points,Serve_Points,Serve_Success,Serve_Avg_Points
Kamulthala Kaewkalaya,MB,142185,2022,Thailand,Thailand,28,178,20,1.54,15,25.86%,1.15,4,4.76%,0.31,1,1.16%,0.08
Kokram Pimpichaya,O,151121,2022,Thailand,Thailand,24,180,228,17.54,204,43.13%,15.69,12,15.58%,0.92,12,6.25%,0.92
Boonlert Tichaya,S,143053,2022,Thailand,Thailand,26,179,0,0,0,-,-,0,0.00%,0,0,0.00%,0
Kongyot Ajcharaporn,OH,133511,2022,Thailand,Thailand,27,180,178,13.69,162,36.90%,12.46,12,19.05%,0.92,4,2.60%,0.31
Moksri Chatchu-On,OH,147213,2022,Thailand,Thailand,23,180,218,16.77,180,40.54%,13.85,29,34.94%,2.23,9,4.89%,0.69
Pairoj Supattra,L,162681,2022,Thailand,Thailand,32,160,0,0,0,-,-,0,-,-,0,-,-
Sooksod Thanacha,O,152205,2022,Thailand,Thailand,22,180,14,1.08,14,46.67%,1.08,0,0.00%,0,0,0.00%,0
Sanitklang Nattaporn,L,148711,2022,Thailand,Thailand,31,166,0,0,0,-,-,0,-,-,0,-,-
ManaKij Sirima,S,181410,2022,Thailand,Thailand,32,168,1,0.12,0,-,-,0,0.00%,0,1,9.09%,0.12
Boonlert Tichakorn,MB,163495,2022,Thailand,Thailand,22,181,2,0.22,2,25.00%,0.22,0,0.00%,0,0,0.00%,0
Janthawisut Sasipapron,OH,180383,2022,Thailand,Thailand,25,175,8,0.8,8,34.78%,0.8,0,0.00%,0,0,0.00%,0
Sinpho Donphon,S,183330,2022,Thailand,Thailand,18,175,-,-,-,-,-,-,-,-,-,-,-
Danai Sriwacharamaytakul,COACH,N/A,2022,Thailand,,,,,,,,,,,,,,
Arici Beyza,MB,163178,2022,Turkey,Turkey,27,190,2,0.18,0,0.00%,0,2,14.29%,0.18,0,0.00%,0
Akoz Simge Sebnem,L,158840,2022,Turkey,Turkey,31,168,0,0,0,-,-,0,-,-,0,0.00%,0
Özbay Cansu,S,143590,2022,Turkey,Turkey,26,179,38,2.53,11,36.67%,0.73,20,22.73%,1.33,7,3.54%,0.47
Ivegin Tugba,OH,152311,2022,Turkey,Turkey,25,182,42,3.82,34,34.34%,3.09,6,23.08%,0.55,2,2.63%,0.18
Akbay Bahar,MB,189139,2022,Turkey,Turkey,25,188,0,-,0,-,-,0,-,-,0,-,-
Sahin Saliha,OH,152312,2022,Turkey,Turkey,24,183,60,5.45,49,38.58%,4.45,7,25.93%,0.64,4,4.60%,0.36
Baladin Hande,OH,143585,2022,Turkey,Turkey,25,187,140,9.33,121,43.68%,8.07,13,24.53%,0.87,6,4.03%,0.4
Unal Buse,S,153618,2022,Turkey,Turkey,25,184,-,-,-,-,-,-,-,-,-,-,-
Diken Meliha,O,148070,2022,Turkey,Turkey,29,182,33,2.2,27,34.62%,1.8,2,10.53%,0.13,4,3.74%,0.27
Aykac Altıntaş Ayca,L,143592,2022,Turkey,Turkey,27,173,0,0,0,0.00%,0,0,-,-,0,-,-
Cebecioglu Derya,OH,163094,2022,Turkey,Turkey,22,181,14,3.5,12,46.15%,3,2,18.18%,0.5,0,0.00%,0
Şahin Elif,S,163975,2022,Turkey,Turkey,22,184,3,0.43,1,33.33%,0.14,1,25.00%,0.14,1,6.25%,0.14
Boz Meryem,O,151195,2022,Turkey,Turkey,35,190,35,3.18,30,36.14%,2.73,3,13.04%,0.27,2,5.00%,0.18
Erdem Dündar Eda,MB,138782,2022,Turkey,Turkey,35,188,155,10.33,108,51.67%,7.2,33,16.75%,2.2,14,7.33%,0.93
Caliskan Sila,S,143580,2022,Turkey,Turkey,26,183,1,0.12,1,100%,0.12,0,0.00%,0,0,0.00%,0
Gunes Zehra,MB,152263,2022,Turkey,Turkey,23,198,193,12.87,138,60.00%,9.2,51,23.29%,3.4,4,2.08%,0.27
Kapucu Ceren,O,123798,2022,Turkey,Turkey,29,190,2,0.5,2,66.67%,0.5,0,0.00%,0,0,-,-
Acar Aylin,L,168151,2022,Turkey,Turkey,27,172,0,0,0,-,-,0,-,-,0,-,-
Kayacan Sonsirma Buse,L,123803,2022,Turkey,Turkey,30,169,-,-,-,-,-,-,-,-,-,-,-
Aydin İlkin,OH,163089,2022,Turkey,Turkey,23,179,17,2.43,14,36.84%,2,2,20.00%,0.29,1,3.45%,0.14
Erkek Yaprak,OH,163091,2022,Turkey,Turkey,21,182,-,-,-,-,-,-,-,-,-,-,-
Yildirim Yasemin,MB,173334,2022,Turkey,Turkey,28,187,-,-,-,-,-,-,-,-,-,-,-
Akyol Ayçin,MB,163093,2022,Turkey,Turkey,23,188,-,-,-,-,-,-,-,-,-,-,-
Yuzgenc Tutku Burcu,O,152254,2022,Turkey,Turkey,24,192,-,-,-,-,-,-,-,-,-,-,-
Karakurt Ebrar,O,163982,2022,Turkey,Turkey,23,195,239,15.93,216,46.25%,14.4,17,18.09%,1.13,6,3.61%,0.4
Giovanni Guidetti,COACH,N/A,2022,Turkey,,,,,,,,,,,,,,
Hancock Micha,S,132835,2022,USA,USA,30,180,10,1.25,4,50.00%,0.5,1,4.35%,0.12,5,11.63%,0.62
Poulter Jordyn,S,143517,2022,USA,USA,25,188,11,2.2,1,33.33%,0.2,7,33.33%,1.4,3,5.66%,0.6
Plummer Kathryn,OH,146722,2022,USA,USA,24,198,62,6.89,53,49.53%,5.89,6,28.57%,0.67,3,6.25%,0.33
Wong-Orantes Justine,L,135564,2022,USA,USA,27,168,0,0,0,-,-,0,-,-,0,-,-
Hentz Morgan,L,152187,2022,USA,USA,24,175,0,0,0,-,-,0,-,-,0,-,-
Dixon Tetori,MB,145702,2022,USA,USA,30,191,21,2.62,16,42.11%,2,3,8.57%,0.38,2,3.28%,0.25
Carlini Lauren,S,132500,2022,USA,USA,28,185,17,1.89,10,50.00%,1.11,2,6.25%,0.22,5,6.25%,0.56
Tapp Hannah,MB,160909,2022,USA,USA,27,191,30,3.33,19,63.33%,2.11,9,23.08%,1,2,3.39%,0.22
Rishel Madison Kingdon,OH,135983,2022,USA,USA,29,183,36,4.5,32,39.02%,4,3,33.33%,0.38,1,3.03%,0.12
Butler Brionne,MB,152194,2022,USA,USA,24,194,9,2.25,6,75.00%,1.5,3,37.50%,0.75,0,0.00%,0
Drews Andrea,O,155307,2022,USA,USA,29,191,76,8.44,66,43.71%,7.33,6,22.22%,0.67,4,6.90%,0.44
Thompson Jordan,O,172978,2022,USA,USA,25,193,74,8.22,63,45.00%,7,5,22.73%,0.56,6,10.34%,0.67
Wilhite Sarah,OH,162942,2022,USA,USA,27,185,70,7.78,54,43.20%,6,10,45.45%,1.11,6,8.22%,0.67
Washington Haleigh,MB,140052,2022,USA,USA,27,190,47,5.22,27,44.26%,3,11,22.92%,1.22,9,9.38%,1
Rettke Dana,MB,172977,2022,USA,USA,24,203,32,3.56,20,45.45%,2.22,10,23.26%,1.11,2,4.65%,0.22
Drews Danielle,OH,186425,2022,USA,USA,24,185,-,-,-,-,-,-,-,-,-,-,-
Bajema Kara,OH,179566,2022,USA,USA,25,190,68,8.5,61,47.66%,7.62,3,23.08%,0.38,4,6.90%,0.5
Gray Jenna,S,178951,2022,USA,USA,25,185,0,-,0,-,-,0,-,-,0,-,-
Cuttino Danielle,O,143524,2022,USA,USA,26,195,20,5,17,35.42%,4.25,3,16.67%,0.75,0,0.00%,0
White Kendall,L,174134,2022,USA,USA,25,165,0,0,0,-,-,0,-,-,0,-,-
Robinson Kelsey,OH,141933,2022,USA,USA,30,188,98,10.89,87,44.16%,9.67,6,17.14%,0.67,5,5.56%,0.56
Ogbogu Chiaka,MB,166638,2022,USA,USA,27,188,31,6.2,21,60.00%,4.2,9,16.07%,1.8,1,2.33%,0.2
Frantti Alexandra,OH,139848,2022,USA,USA,27,191,91,10.11,78,55.71%,8.67,12,52.17%,1.33,1,1.96%,0.11
Stevenson Anna,MB,186519,2022,USA,USA,23,188,32,4,23,47.92%,2.88,9,25.71%,1.12,0,0.00%,0
Reed Nia,O,143525,2022,USA,USA,26,185,20,5,19,40.43%,4.75,1,5.26%,0.25,0,0.00%,0
Karch Kiraly,COACH,N/A,2022,USA,,,,,,,,,,,,,,
Duarte Alecrim Diana,MB,152119,2023,Brazil,Brazil,25,194,68,5.23,43,60.56%,3.31,17,21.79%,1.31,8,10.53%,0.62
Alexandre Costa Nunes Nyeme Victoria,L,152135,2023,Brazil,Brazil,25,175,0,0,0,-,-,0,-,-,0,-,-
Zalewski Daroit Priscila,OH,115970,2023,Brazil,Brazil,35,184,32,3.56,27,31.03%,3,4,16.00%,0.44,1,2.00%,0.11
Daher de Menezes Thaisa,MB,113963,2023,Brazil,Brazil,36,196,114,12.67,87,60.84%,9.67,20,21.98%,2.22,7,6.03%,0.78
Montibeller Rosamaria,OH,136897,2023,Brazil,Brazil,29,185,70,7.78,62,41.89%,6.89,4,14.29%,0.44,4,6.67%,0.44
Silva Carneiro Macris Fernanda,S,151187,2023,Brazil,Brazil,35,178,18,1.38,7,33.33%,0.54,7,15.22%,0.54,4,3.25%,0.31
Ratzke Roberta Silva,S,119575,2023,Brazil,Brazil,33,185,3,0.33,2,40.00%,0.22,1,4.55%,0.11,0,0.00%,0
Braga Guimaraes Gabriela,OH,136896,2023,Brazil,Brazil,29,180,86,17.2,81,39.90%,16.2,4,15.38%,0.8,1,1.14%,0.2
Basso Maiara,OH,141651,2023,Brazil,Brazil,28,189,80,6.15,70,40.00%,5.38,5,13.89%,0.38,5,5.00%,0.38
Araujo Natália,L,164674,2023,Brazil,Brazil,26,162,0,0,0,-,-,0,-,-,0,-,-
Da Silva Ana Carolina,MB,144866,2023,Brazil,Brazil,32,183,106,8.15,65,50.78%,5,34,27.20%,2.62,7,4.24%,0.54
Nascimento Kisy,O,171260,2023,Brazil,Brazil,24,191,93,10.33,78,41.94%,8.67,11,29.73%,1.22,4,5.06%,0.44
Bergmann Julia Isabelle,OH,162999,2023,Brazil,Brazil,23,191,85,6.54,73,35.78%,5.62,6,23.08%,0.46,6,4.92%,0.46
Lemes Santos Tainara,O,163000,2023,Brazil,Brazil,24,190,18,3.6,13,44.83%,2.6,3,42.86%,0.6,2,22.22%,0.4
José Roberto Guimaraes,COACH,N/A,2023,Brazil,,,,,,,,,,,,,,
Stanchulova Iveta,OH,151859,2023,Bulgaria,Bulgaria,26,186,14,1.75,11,25.58%,1.38,2,33.33%,0.25,1,7.69%,0.12
Neykova Polina,S,153422,2023,Bulgaria,Bulgaria,25,182,4,0.33,1,25.00%,0.08,3,37.50%,0.25,0,0.00%,0
Yordanova Maria,OH,174474,2023,Bulgaria,Bulgaria,21,184,150,12.5,130,34.21%,10.83,1,2.22%,0.08,19,12.26%,1.58
Nikolova Simona,O,153421,2023,Bulgaria,Bulgaria,26,189,14,1.17,13,28.26%,1.08,1,16.67%,0.08,0,0.00%,0
Barakova Petya,S,142348,2023,Bulgaria,Bulgaria,29,180,20,1.67,10,31.25%,0.83,6,9.38%,0.5,4,3.60%,0.33
Becheva Elena,OH,163256,2023,Bulgaria,Bulgaria,25,185,96,8,82,29.39%,6.83,7,19.44%,0.58,7,6.19%,0.58
Todorova Mira,MB,142337,2023,Bulgaria,Bulgaria,29,187,106,8.83,59,41.26%,4.92,39,32.77%,3.25,8,6.78%,0.67
Krivoshiyska Mariya,MB,164660,2023,Bulgaria,Bulgaria,22,186,13,1.08,6,26.09%,0.5,4,11.43%,0.33,3,4.92%,0.25
Pashkuleva Mila,L,174478,2023,Bulgaria,Bulgaria,20,175,0,0,0,-,-,0,-,-,0,-,-
Saykova Borislava,MB,163261,2023,Bulgaria,Bulgaria,23,187,36,3,16,36.36%,1.33,11,13.75%,0.92,9,8.26%,0.75
Marinova Radostina,O,163141,2023,Bulgaria,Bulgaria,25,186,125,10.42,115,34.43%,9.58,5,12.82%,0.42,5,4.67%,0.42
Krasteva Monika,OH,163144,2023,Bulgaria,Bulgaria,24,183,2,0.17,2,33.33%,0.17,0,0.00%,0,0,0.00%,0
Karabasheva Galina,L,174467,2023,Bulgaria,Bulgaria,21,166,0,0,0,-,-,0,-,-,0,-,-
Nikolova Merelin,O,174472,2023,Bulgaria,Bulgaria,20,180,37,3.08,31,33.33%,2.58,1,10.00%,0.08,5,11.90%,0.42
Lorenzo Micelli,COACH,N/A,2023,Bulgaria,,,,,,,,,,,,,,
Van Ryk Kiera,OH,168355,2023,Canada,Canada,25,188,103,12.88,84,38.01%,10.5,12,17.91%,1.5,7,7.45%,0.88
Murmann Julia,L,175158,2023,Canada,Canada,21,181,0,0,0,-,-,0,-,-,0,-,-
White Jazmine Ruth,MB,153629,2023,Canada,Canada,30,186,57,4.75,33,37.93%,2.75,21,24.71%,1.75,3,2.94%,0.25
Van Buskirk Layne,MB,163360,2023,Canada,Canada,26,191,39,3.25,27,51.92%,2.25,12,24.49%,1,0,0.00%,0
Ogoms Alicia,MB,142777,2023,Canada,Canada,29,194,4,0.5,1,16.67%,0.12,3,20.00%,0.38,0,0.00%,0
Gray Alexa,OH,132236,2023,Canada,Canada,29,185,231,19.25,208,40.31%,17.33,13,17.81%,1.08,10,5.46%,0.83
Mitrovic Andrea,OH,173581,2023,Canada,Canada,24,187,47,3.92,41,32.03%,3.42,2,8.33%,0.17,4,5.48%,0.33
King Brie,S,173585,2023,Canada,Canada,26,183,36,3,18,41.86%,1.5,11,14.10%,0.92,7,3.78%,0.58
Howe Hilary,OH,174676,2023,Canada,Canada,25,185,130,10.83,101,35.44%,8.42,24,33.33%,2,5,4.24%,0.42
Joseph Shainah,O,166581,2023,Canada,Canada,28,183,13,1.08,13,35.14%,1.08,0,0.00%,0,0,0.00%,0
Livingston Caroline,OH,174680,2023,Canada,Canada,27,188,0,0,0,-,-,0,-,-,0,0.00%,0
Jost Kacey,L,192389,2023,Canada,Canada,24,173,0,0,0,-,-,0,-,-,0,-,-
Maglio Emily,MB,168354,2023,Canada,Canada,27,191,105,8.75,66,44.90%,5.5,35,22.01%,2.92,4,2.50%,0.33
Pelland Quinn,S,183258,2023,Canada,Canada,24,179,0,0,0,-,-,0,-,-,0,-,-
Shannon Winzer,COACH,N/A,2023,Canada,,,,,,,,,,,,,,
Yuan Xinyue,MB,135746,2023,China,China,27,202,185,12.33,136,53.97%,9.07,40,23.95%,2.67,9,5.33%,0.6
Diao Linyu,S,162354,2023,China,China,29,183,30,2,8,32.00%,0.53,12,13.04%,0.8,10,4.74%,0.67
Yang Hanyu,MB,152337,2023,China,China,24,196,15,1,11,39.29%,0.73,4,15.38%,0.27,0,0.00%,0
Gao Yi,MB,152332,2023,China,China,25,194,8,0.53,5,35.71%,0.33,3,33.33%,0.2,0,0.00%,0
Gong Xiangyu,O,143206,2023,China,China,26,189,161,10.73,141,41.84%,9.4,13,18.57%,0.87,7,3.41%,0.47
Wang Yuanyuan,MB,143201,2023,China,China,26,196,127,8.47,102,60.00%,6.8,21,22.83%,1.4,4,2.38%,0.27
Xu Xiaoting,S,162979,2023,China,China,26,183,3,0.2,0,0.00%,0,0,0.00%,0,3,21.43%,0.2
Wang Yunlu,OH,135740,2023,China,China,27,191,142,9.47,121,39.93%,8.07,12,15.19%,0.8,9,4.15%,0.6
Zhong Hui,OH,152920,2023,China,China,26,184,5,0.33,4,20.00%,0.27,1,25.00%,0.07,0,0.00%,0
Li Yingying,OH,152318,2023,China,China,24,192,291,19.4,262,49.81%,17.47,15,18.52%,1,14,5.74%,0.93
Zheng Yixin,O,135742,2023,China,China,28,189,26,1.73,20,48.78%,1.33,5,27.78%,0.33,1,3.70%,0.07
Ni Feifan,L,163909,2023,China,China,23,177,0,0,0,-,-,0,-,-,0,0.00%,0
Wang Mengjie,L,135745,2023,China,China,28,173,0,0,0,-,-,0,-,-,0,-,-
Du Qingqing,OH,143198,2023,China,China,27,189,0,0,0,-,-,0,-,-,0,0.00%,0
Bin Cai,COACH,N/A,2023,China,,,,,,,,,,,,,,
Antunović Karla,S,194499,2023,Croatia,Croatia,21,180,18,1.5,6,23.08%,0.5,6,10.00%,0.5,6,6.59%,0.5
Mihaljević Andrea,O,194498,2023,Croatia,Croatia,21,183,124,10.33,109,31.69%,9.08,10,16.67%,0.83,5,5.49%,0.42
Strunjak Ema,MB,156438,2023,Croatia,Croatia,24,187,76,6.33,41,38.32%,3.42,29,25.44%,2.42,6,4.92%,0.5
Butigan Božana,MB,162957,2023,Croatia,Croatia,23,192,0,-,0,-,-,0,-,-,0,-,-
Deak Lea,S,173970,2023,Croatia,Croatia,23,177,4,0.33,1,20.00%,0.08,1,12.50%,0.08,2,7.69%,0.17
Miloš Laura,OH,170571,2023,Croatia,Croatia,29,178,60,5,54,27.98%,4.5,4,10.81%,0.33,2,2.44%,0.17
Mlinar Lucija,OH,147402,2023,Croatia,Croatia,28,180,22,2.75,20,27.78%,2.5,1,25.00%,0.12,1,2.27%,0.12
Karatović Dijana,OH,189437,2023,Croatia,Croatia,20,182,63,5.25,52,31.14%,4.33,7,30.43%,0.58,4,3.67%,0.33
Marković Josipa,L,189256,2023,Croatia,Croatia,23,185,14,1.17,13,22.81%,1.08,1,7.69%,0.08,0,0.00%,0
Fabris Samanta,O,140914,2023,Croatia,Croatia,32,190,24,6,21,23.60%,5.25,3,15.79%,0.75,0,0.00%,0
Šamadan Martina,MB,136824,2023,Croatia,Croatia,30,193,113,9.42,89,49.72%,7.42,18,19.57%,1.5,6,5.71%,0.5
Trcol Viktoria Ana,MB,186153,2023,Croatia,Croatia,19,186,2,0.17,0,0.00%,0,1,50.00%,0.08,1,7.69%,0.08
Đapić Barbara,O,164734,2023,Croatia,Croatia,29,193,9,1.12,8,40.00%,1,0,0.00%,0,1,11.11%,0.12
Štimac Izabela,L,189270,2023,Croatia,Croatia,23,171,0,0,0,-,-,0,-,-,0,-,-
Ferhat Akbas,COACH,N/A,2023,Croatia,,,,,,,,,,,,,,
Rodriguez Duran Yaneirys,L,158817,2023,Dominican Republic,Dominican Republic,23,171,0,0,0,-,-,0,-,-,0,0.00%,0
Eve Mejia Lisvel Elisa,MB,119591,2023,Dominican Republic,Dominican Republic,32,194,44,3.67,24,47.06%,2,15,25.86%,1.25,5,5.81%,0.42
Peralta Luna Vielka Michelle,OH,151087,2023,Dominican Republic,Dominican Republic,24,186,11,0.92,11,39.29%,0.92,0,0.00%,0,0,0.00%,0
Castillo Brenda,L,119039,2023,Dominican Republic,Dominican Republic,31,167,0,0,0,-,-,0,-,-,0,-,-
Marte Frica Niverka Dharlenis,S,119585,2023,Dominican Republic,Dominican Republic,33,178,15,1.25,9,36.00%,0.75,3,4.84%,0.25,3,1.55%,0.25
Tapia Cruz Alondra Denis,O,183317,2023,Dominican Republic,Dominican Republic,19,193,1,0.09,1,20.00%,0.09,0,0.00%,0,0,-,-
Hinojosa Diaz Angelica Maria,MB,143961,2023,Dominican Republic,Dominican Republic,27,186,2,0.17,1,25.00%,0.08,0,-,-,1,12.50%,0.08
Gonzalez Geraldine Sthefany,MB,149530,2023,Dominican Republic,Dominican Republic,21,200,38,3.17,23,36.51%,1.92,14,19.18%,1.17,1,1.69%,0.08
Perez Javier Yokaty,S,139912,2023,Dominican Republic,Dominican Republic,25,178,0,0,0,-,-,0,-,-,0,0.00%,0
Peña Isabel Yonkaira Paola,OH,123978,2023,Dominican Republic,Dominican Republic,30,190,166,13.83,142,39.55%,11.83,15,22.39%,1.25,9,4.37%,0.75
Martinez Brayelin Elizabeth,OH,123982,2023,Dominican Republic,Dominican Republic,27,201,215,17.92,185,40.13%,15.42,24,32.88%,2,6,3.47%,0.5
Martinez Jineiry,MB,139910,2023,Dominican Republic,Dominican Republic,26,192,154,12.83,109,55.33%,9.08,35,21.60%,2.92,10,7.52%,0.83
Gonzalez Lopez Gaila Ceneida,O,139927,2023,Dominican Republic,Dominican Republic,26,190,239,19.92,197,42.27%,16.42,28,25.45%,2.33,14,7.04%,1.17
Martinez Caro Larysmer,L,139913,2023,Dominican Republic,Dominican Republic,27,174,0,0,0,-,-,0,-,-,0,0.00%,0
Marcos Kwiek,COACH,N/A,2023,Dominican Republic,,,,,,,,,,,,,,
Agbortabi Vanessa,OH,151011,2023,Germany,Germany,25,181,13,1,10,31.25%,0.77,2,22.22%,0.15,1,5.56%,0.08
Kästner Pia,S,150973,2023,Germany,Germany,25,182,24,1.85,4,22.22%,0.31,6,10.71%,0.46,14,7.73%,1.08
Cesar Annie,L,158238,2023,Germany,Germany,26,173,0,0,0,-,-,0,-,-,0,-,-
Pogany Anna,L,136671,2023,Germany,Germany,29,170,0,0,0,-,-,0,-,-,0,-,-
Glaab Corina,S,163661,2023,Germany,Germany,23,180,1,0.08,0,0.00%,0,1,8.33%,0.08,0,0.00%,0
Stautz Antonia,OH,157403,2023,Germany,Germany,30,180,17,1.31,13,28.89%,1,0,0.00%,0,4,4.71%,0.31
Alsmeier Lina,OH,163658,2023,Germany,Germany,23,189,152,11.69,126,35.59%,9.69,19,31.67%,1.46,7,4.32%,0.54
Stigrot Lena,OH,144980,2023,Germany,Germany,29,184,143,11,125,39.06%,9.62,11,16.18%,0.85,7,5.60%,0.54
Orthmann Hanna,OH,151016,2023,Germany,Germany,25,-,224,17.23,196,41.35%,15.08,12,17.65%,0.92,16,10.96%,1.23
Schölzel Marie,MB,150812,2023,Germany,Germany,26,190,80,6.15,64,48.85%,4.92,14,15.56%,1.08,2,3.08%,0.15
Cekulaev Anastasia,MB,177765,2023,Germany,Germany,20,187,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0
Weske Emilia,O,163939,2023,Germany,Germany,22,188,44,4.89,35,42.17%,3.89,6,33.33%,0.67,3,7.50%,0.33
Weitzel Camilla,MB,153929,2023,Germany,Germany,23,195,162,12.46,109,49.55%,8.38,35,19.02%,2.69,18,9.05%,1.38
Strubbe Monique,MB,182628,2023,Germany,Germany,22,189,33,2.54,19,34.55%,1.46,9,12.86%,0.69,5,4.95%,0.38
Vital Heynen,COACH,N/A,2023,Germany,,,,,,,,,,,,,,
Degradi Alice Carlotta,OH,143370,2023,Italy,Italy,27,182,98,7.54,82,42.27%,6.31,8,20.00%,0.62,8,10.26%,0.62
Villani Francesca,OH,142394,2023,Italy,Italy,28,186,60,12,52,43.33%,10.4,4,36.36%,0.8,4,8.33%,0.8
Bosio Francesca,S,151986,2023,Italy,Italy,26,-,32,2.46,8,42.11%,0.62,20,20.00%,1.54,4,2.23%,0.31
Fersino Eleonora,L,173402,2023,Italy,Italy,24,-,0,0,0,-,-,0,-,-,0,-,-
Danesi Anna,MB,136694,2023,Italy,Italy,27,-,102,7.85,68,50.75%,5.23,28,21.88%,2.15,6,3.73%,0.46
Mazzaro Alessia,MB,151661,2023,Italy,Italy,25,184,71,5.46,47,55.95%,3.62,20,22.47%,1.54,4,3.01%,0.31
Nwakalor Sylvia Chinelo,O,151664,2023,Italy,Italy,24,176,246,18.92,210,44.97%,16.15,33,31.73%,2.54,3,1.58%,0.23
D'Odorico Sofia,OH,143391,2023,Italy,Italy,27,186,27,2.08,24,41.38%,1.85,2,18.18%,0.15,1,3.23%,0.08
Sylla Myriam Fatime,OH,136701,2023,Italy,Italy,29,184,87,9.67,81,44.02%,9,4,16.00%,0.44,2,2.56%,0.22
Squarcini Federica,MB,173917,2023,Italy,Italy,23,181,40,3.08,23,42.59%,1.77,9,22.50%,0.69,8,10.13%,0.62
Parrocchiale Beatrice,L,136689,2023,Italy,Italy,28,168,0,0,0,-,-,0,-,-,0,-,-
Omoruyi Oghosasere Loveth,OH,173730,2023,Italy,Italy,21,184,141,10.85,115,36.74%,8.85,18,30.51%,1.38,8,5.03%,0.62
Gennari Giulia,S,143396,2023,Italy,Italy,27,184,3,0.33,0,-,-,1,25.00%,0.11,2,11.11%,0.22
Malual Adhuoljok John Majak,O,173731,2023,Italy,Italy,23,188,21,1.62,20,35.09%,1.54,1,7.14%,0.08,0,0.00%,0
Davide Mazzanti,COACH,N/A,2023,Italy,,,,,,,,,,,,,,
Nagaoka Miyu,O,119385,2023,Japan,Japan,32,179,27,5.4,23,34.33%,4.6,3,21.43%,0.6,1,4.17%,0.2
Hayashi Kotona,OH,151953,2023,Japan,Japan,24,173,109,8.38,104,42.98%,8,3,6.67%,0.23,2,1.87%,0.15
Nishida Sarina,OH,143437,2023,Japan,Japan,27,180,209,16.08,173,35.60%,13.31,18,29.51%,1.38,18,9.14%,1.38
Ishikawa Mayu,OH,162218,2023,Japan,Japan,23,174,82,9.11,68,34.00%,7.56,4,16.00%,0.44,10,9.71%,1.11
Seki Nanami,S,151944,2023,Japan,Japan,24,171,23,1.77,9,40.91%,0.69,1,2.44%,0.08,13,8.12%,1
Shibata Mika,S,152457,2023,Japan,Japan,29,171,3,0.6,2,40.00%,0.4,0,0.00%,0,1,4.00%,0.2
Inoue Arisa,OH,142372,2023,Japan,Japan,28,178,107,8.23,99,35.11%,7.62,3,8.82%,0.23,5,4.90%,0.38
Yamada Nichika,MB,162227,2023,Japan,Japan,24,184,73,8.11,51,42.50%,5.67,18,18.95%,2,4,4.08%,0.44
Fukudome Satomi,L,189198,2023,Japan,Japan,26,162,0,0,0,-,-,0,-,-,0,-,-
Meguro Yuka,L,187806,2023,Japan,Japan,28,170,0,0,0,-,-,0,-,-,0,0.00%,0
Miyabe Airi,OH,146519,2023,Japan,Japan,25,181,33,6.6,20,38.46%,4,12,25.00%,2.4,1,2.70%,0.2
Irisawa Mai,MB,151947,2023,Japan,Japan,24,188,24,1.85,15,34.88%,1.15,5,10.87%,0.38,4,6.25%,0.31
Nishimura Minami,L,189509,2023,Japan,Japan,24,169,0,0,0,-,-,0,-,-,0,-,-
Wada Yukiko,OH,174243,2023,Japan,Japan,22,174,94,7.23,86,45.99%,6.62,5,31.25%,0.38,3,4.55%,0.23
Masayoshi Manabe,COACH,N/A,2023,Japan,,,,,,,,,,,,,,
Kim Daeun,O,163830,2023,Korea,Korea,23,180,83,10.38,74,34.91%,9.25,3,7.69%,0.38,6,9.84%,0.75
Lee Juah,MB,163760,2023,Korea,Korea,23,185,48,4,38,41.76%,3.17,7,14.00%,0.58,3,4.69%,0.25
Yeum Hye Seon,S,120148,2023,Korea,Korea,33,176,2,0.17,1,25.00%,0.08,0,0.00%,0,1,2.33%,0.08
Kim Dain,S,181159,2023,Korea,Korea,25,172,6,0.75,2,15.38%,0.25,0,0.00%,0,4,6.06%,0.5
Kim Jiwon,S,200723,2023,Korea,Korea,22,174,6,0.75,2,33.33%,0.25,1,14.29%,0.12,3,8.82%,0.38
Moon Jungwon,L,133479,2023,Korea,Korea,32,174,0,0,0,-,-,0,-,-,0,-,-
Park Jeongah,OH,131893,2023,Korea,Korea,30,187,37,3.08,31,23.31%,2.58,5,20.83%,0.42,1,2.70%,0.08
Lee Dahyeon,MB,163822,2023,Korea,Korea,22,185,49,4.08,32,37.21%,2.67,12,20.69%,1,5,7.14%,0.42
Jeong Jiyun,OH,163832,2023,Korea,Korea,23,180,74,6.17,68,28.69%,5.67,5,11.63%,0.42,1,1.14%,0.08
Jung Hoyoung,MB,168184,2023,Korea,Korea,22,190,30,2.5,22,41.51%,1.83,6,11.32%,0.5,2,3.85%,0.17
Kim Miyoun,OH,135949,2023,Korea,Korea,31,177,17,1.89,15,34.09%,1.67,1,16.67%,0.11,1,3.57%,0.11
Pyo Seungju,OH,133482,2023,Korea,Korea,31,182,38,3.17,33,30.28%,2.75,2,11.11%,0.17,3,6.52%,0.25
Moon Jiyun,O,163833,2023,Korea,Korea,23,181,36,3,33,33.33%,2.75,3,33.33%,0.25,0,0.00%,0
